BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20220106,0.022960805198042725,7,0.0125,386.22,16.58,22012,397.5,375,0.29,0.93,162789,113030,103.56791466003831,31588213.971311685,2404832.79102052,0,33993046.7623322,0.00339930467623322
20220113,0.022032956013320858,7,0.013500000000000002,393,15.91,22013,402.5,382.5,0.27,0.66,4492,2913,101.78117048346056,23664122.13740458,2595167.834361603,53689567.430025786,-27430277.458259605,-0.0027430277458259603
20220120,0.0259797771722124,7,0.013300000000000001,380.39,18.76,22014,392.5,370,0.25,0.83,2386,2898,105.15523541628329,28391913.56239649,2557926.8141168747,563106285.6541975,-532156445.2776841,-0.05321564452776841
20220127,0.034385813815886665,7,0.013700000000000002,348.58,24.83,22021,362.5,335,0.44,1.16,2313,2600,114.75127660795226,45900510.6431809,2639457.1478648805,0,48539967.79104578,0.004853996779104578
20220203,0.03319484322057202,7,0.013999999999999999,361.6,23.97,22022,375,347.5,0.34,0.82,148310,89264,110.61946902654867,32079646.01769911,2693544.6720814644,0,34773190.68978058,0.0034773190689780576
20220210,0.02725383873929317,7,0.0139,371.57,19.68,22023,382.5,360,0.37,0.91,4705,3769,107.65131738299648,34448421.562558874,2674936.524432978,0,37123358.086991854,0.0037123358086991855
20220217,0.030383598675817698,7,0.013700000000000002,369.55,21.94,22024,382.5,357.5,0.29,1.41,2963,1412,108.23975104857259,46001894.19564334,2639483.7853516773,66567446.894871585,-17926068.913876563,-0.0017926068913876564
20220224,0.033333328173515586,7,0.014199999999999999,355.04,24.07,22031,367.5,342.5,0.84,1.84,1596,1086,112.66336187471833,75484452.45606129,2743844.259107212,0,78228296.7151685,0.00782282967151685
20220303,0.0344689047876528,7,0.014199999999999999,367.06,24.89,22032,380,352.5,0.37,0.91,157396,68457,108.97400969868686,34871683.1035798,2732784.2336999886,0,37604467.33727978,0.0037604467337279783
20220310,0.04009139387716146,7,0.014499999999999999,358.01,28.95,22033,372.5,342.5,0.18,1.16,2185,786,111.72872266137817,37429122.09156168,2791230.290115873,0,40220352.38167755,0.004022035238167756
20220317,0.03287632782880182,7,0.0141,361.46,23.74,22034,375,347.5,0.21,0.7,4539,1551,110.66231394898467,25175676.423394013,2710917.3678438053,0,27886593.79123782,0.002788659379123782
20220324,0.027156899272232683,7,0.0144,363.38,19.61,22035,375,352.5,0.13,0.71,3065,1924,110.07760471132148,23116296.98937751,2768027.7335247374,0,25884324.722902246,0.0025884324722902246
